review_id,lodging_id,guest_id,date,review,rating,overall_sentiment,room_sentiment,guest_service_sentiment,cleaning_sentiment,breakfast_sentiment,sentiment_score,clean_review
3089,851,3163,2022-11-12,"This place is not the crown jewel of the Hyatt Place chain, but it was a quiet & comfortable night in Reno (much credit to the excellent mattress and pillows Hyatt uses). Compared to other Hyatt Places, this one seems dated and worn: scuffs on the walls, spots on the carpet, soap holder in the shower has been clumsily reattached, etc. The hot water in our room took a full minute to kick in, and the shower temperature kept dropping. Our room had a nice-sized bathroom that allowed room to maneuver easily. And fitness center was adequate for a quick workout, the hot tub was steamy, clean and refreshing, and breakfast was to the usual good standards we would expect at a Hyatt. Overall, we find Hyatt Place to be an excellent value for the price typically and would still rather stay here than downtown. The friendly staff took good care of us and we would happily stay here again.",4,1,-1,1,-1,1,0.9947,place crown jewel hyatt place chain quiet comfortable night reno much credit excellent mattress pillow hyatt use compare hyatt place one seem date worn scuff wall spot carpet soap holder shower clumsily reattache etc hot water room take full minute kick shower temperature keep drop room nicesized bathroom allow room maneuver easily fitness center adequate quick workout hot tub steamy clean refreshing breakfast usual good standard would expect hyatt overall find hyatt place excellent value price typically would still rather stay downtown friendly staff take good care we would happily stay
4552,1159,4677,2022-09-22,Clean quiet room with working air conditioning and the most comfortable king size bed and pillows,5,1,1,0,1,0,0.7425,clean quiet room work air condition comfortable king size bed pillow
17584,811,17265,2022-08-03,Positive: Quiet area & cleanliness & pool Negative: No hot tub,2,0,1,0,1,-1,-0.3182,positive quiet area cleanliness pool negative hot tub
17585,811,17265,2022-08-09,Positive: Overall price Negative: I picked this one because ad said breakfast included. But no breakfast ???,2,-1,0,0,0,-1,-0.431,positive overall price negative pick one ad say breakfast include breakfast
17586,811,17265,2022-08-09,"Positive: I didnt die Negative: Not sure how to answer that question. The photos look deceiving.  This place isnt all that its cracked up to be. They didnt have my room that i booked, the room i was given was on the dog floor, pee and smoke is what the whole hotel smelled like.",2,-1,-1,0,-1,0,0.8352,positive do not die negative sure answer question photo look deceive place be not crack do not room book room give dog floor pee smoke whole hotel smell like
17587,811,17265,2022-08-14,Positive: It's in a bad part of town    Negative: It was Disgusting,2,-1,0,0,-1,0,-0.7906,positive bad part town negative disgusting
17588,811,17265,2022-11-05,"Positive: Leaving!! Negative: Smells, Drug dealers outside and beds suck!!!",2,-1,-1,0,-1,0,-0.4588,positive leave negative smell drug dealer outside bed suck
17589,811,17265,2022-11-15,"Positive: Location only! Negative: Showed up at 10:30 pm more then enough time to have our room ready. We got up to our room the bed was never made, pillows were on the dirty floor,toilet paper in toilet,bath tub had 2 inches of stagnant water in it. Next room missing toiletries. Not Happy",2,-1,-1,-1,-1,0,-0.6906,positive location negative show 1030 pm enough time room ready get room bed never make pillow dirty floortoilet paper toiletbath tub 2 inch stagnant water next room miss toiletry happy
17590,811,17265,2022-11-15,Positive: ItÂ¿s really close to Renown Health  if you came from far away to see a family member. Negative: There was no remote for my TV and when I asked for one it never came.,2,-1,0,-1,0,0,-0.3182,positive itâs really close renown health come far away see family member negative remote tv ask one never come
17591,811,17265,2022-11-21,"Positive: Staff Negative: It was not clean, low water pressure and no bathroom cups, lotion or soap.",2,-1,0,1,-1,0,-0.6052,positive staff negative clean low water pressure bathroom cup lotion soap
17592,811,17265,2022-12-21,Positive: Friendly staff Negative: Had a kind of depressed feeling about it.,2,-1,0,1,0,0,0.0018,positive friendly staff negative kind depressed feeling
17593,811,17265,2023-07-18,"Positive: Absolutely nothing was good about this hotel! Negative: Crime ridden in and out of the hotel. Filthy, stinky, and disgusting. Worst hotel IÂ¿ve ever been to in my life. Drug attics and homeless people all around the property. Ownership needs to do something to clean up the entire facility! - 10 stars!",2,-1,-1,-1,-1,0,-0.927,positive absolutely nothing good hotel negative crime ride hotel filthy stinky disgusting bad hotel iâve ever life drug attic homeless people around property ownership need something clean entire facility 10 star
17594,811,17265,2023-07-07,"Positive: The room was clean & the staff is nice. Hotel itself is older & you can see the wear. Room was on the west side of the hotel & kept very hot,even with the a/c on high. They could use a fan. Negative: In a bad area. I would walk alone at night. Also as previously mentioned the a/c could be better.",2,0,1,1,1,0,0.6249,positive room clean staff nice hotel old see wear room west side hotel keep hoteven ac high could use fan negative bad area would walk alone night also previously mention ac could better
17595,811,17265,2023-06-11,"Positive: I liked that despite being in desperate need of updates that it was as clean as could be (I hope) they provided coffee, toiletries and pillows were great. Cost good. Negative: Smells like stale cigarettes from no updates  Precarious people outside hotel leaving garbage a lot in parking lot  Train super close by.. road noises super close",2,-1,1,0,1,0,0.976,positive like despite desperate need update clean could hope provide coffee toiletry pillow great cost good negative smell like stale cigarette update precarious people outside hotel leave garbage lot parking lot train super close road noise super close
17596,811,17265,2023-07-07,"Positive: Front desk accommodation was good Negative: It was dated, housekeepers never cleaned my room. When I mentioned to front desk, they told me it would done but no one cleaned. I had two rooms 613 and 1121. The hotel reeked of marijuana and elevators were filthy.",2,-1,0,-1,-1,0,-0.7096,positive front desk accommodation good negative date housekeeper never clean room mention front desk tell would do one clean two room 613 1121 hotel reek marijuana elevator filthy
17597,811,17265,2023-06-28,"Positive: The view from the 11th floor was great. No wait for check in, and coffee in the morning in the lobby. Negative: People loitering outside hotel at night. No refrigerator as advertised. Casino was too smokey and the staff did not put out enough cookies/ muffins or check the coffee pot.Carpet was loose and dirty and hotel key needed to enter hotel and casino.",2,-1,1,-1,-1,0,-0.5423,positive view 11th floor great wait check coffee morning lobby negative people loiter outside hotel night refrigerator advertise casino smokey staff put enough cookie muffin check coffee potcarpet loose dirty hotel key need enter hotel casino
17598,811,17265,2023-04-25,Positive: Luggage carts for all our luggage and ski equipment. Really helped arriving and leaving! Fairly quiet and casino with food next door. Also good Mexican restaurant a short block away. Parking excellent! Easy on and off freeways. Negative: Area around hotel a little shady.,2,1,1,1,1,1,0.7579,positive luggage cart luggage ski equipment really help arrive leave fairly quiet casino food next door also good mexican restaurant short block away park excellent easy freeway negative area around hotel little shady
17599,811,17265,2023-06-28,"Positive: Absolutely  nothing. There's a diner on the premises, but no continitial breakfast. The lobby was clean Negative: It was a seedy place to stay ,not recommended for a single woman or small children. Didnt realize how scary it was til we arrived.my reservations was unrefundable.the place was dirty in our room the floor was sticky and yucky.",2,-1,-1,0,-1,0,-0.8336,positive absolutely nothing there s diner premise continitial breakfast lobby clean negative seedy place stay recommend single woman small child do not realize scary til arrivedmy reservation unrefundablethe place dirty room floor sticky yucky
17600,811,17265,2023-06-06,Positive: really nothing. Negative: the area nothing like the pictures. the service well there was none no cleaning of the rooms was there 3 nights.  the sad part is they take your money but don't let you know no cleaning services. i will never stay there again.,2,-1,0,-1,-1,0,0.6321,positive really nothing negative area nothing like picture service well none clean room 3 night sad part take money do not let know clean service never stay
17601,811,17265,2023-06-11,"Positive: Price. It was cheap, the room was quiet and comfortable . Negative: It was in a very rough part of town, I worried about my car outside at night. The hotel was tired looking and outdated. The casino was horrible , the 'restaurant' was a greasy takeout in the casino. There is a ""topless cabaret"" behind the hotel !",2,-1,1,0,-1,0,-0.6597,positive price cheap room quiet comfortable negative rough part town worry car outside night hotel tired look outdate casino horrible restaurant greasy takeout casino topless cabaret behind hotel
17602,811,17265,2023-06-02,Positive: The free coffee and cold water. I have more complains than plus for this hotel. Negative: Rooms are not available on time. I wait 2 hours for my 2 rooms after 3pm and they sold out my room. They give me water every was left and charged me again for the rooms. I waited for the refund and its been almost a week.  Rooms are not clean and smells.,2,-1,-1,-1,-1,0,-0.412,positive free coffee cold water complain plus hotel negative room available time wait 2 hour 2 room 3 pm sell room give water every leave charge room wait refund almost week room clean smell
17603,811,17265,2023-05-31,"Positive: The price, mostly because I booked very early. Negative: TV did not work properly, bed was extremely hard and would slid off base. Lots off homeless and sketchy people hanging outside, tile around tub was broke and had something growing on it.  The whole hotel smelled bad. Casino was smokey and old machines.",2,-1,-1,0,-1,0,-0.7698,positive price mostly book early negative tv work properly bed extremely hard would slide base lot homeless sketchy people hang outside tile around tub break something grow whole hotel smell bad casino smokey old machine
17604,811,17265,2023-07-07,"Positive: Location to my work. Negative: Old elevators. No refrigerator. Housekeeping did not show up to clean or restock my room until the day I checked out, and they showed up at 8am while I was sleeping. Check-out was 11am and housekeeping disturbed my sleep while I had 3 hours until checkout",2,-1,0,-1,-1,0,-0.296,positive location work negative old elevator refrigerator housekeeping show clean restock room day check show 8 am sleep checkout 11 am housekeeping disturbed sleep 3 hour checkout
17605,811,17265,2023-03-06,"Positive: This place is incredibly dirty and SUPER UNSAFE! You should not be offering rooms to anyone at this place. I want a refund! Negative: Dirty, holes in wall, bathroom door would not shut. I wasn't even properly checked in, when I went to the desk to ask for coffee, they said it didn't even show me checked in. The attached casino is dirty and unsafe. The heater blew cold or HOT air.",2,-1,-1,-1,-1,0,-0.6388,positive place incredibly dirty super unsafe offer room anyone place want refund negative dirty hole wall bathroom door would shut be not even properly check go desk ask coffee say do not even show check attach casino dirty unsafe heater blow cold hot air
17606,811,17265,2023-07-11,"Positive: Nothing, it wasnÂ¿t clean. There were homeless people outside yelling. WeÂ¿re waiting to get our money back. It was so bad, we went to a different hotel. And are currently trying to get our money back. Negative: Everything",2,-1,0,0,-1,0,-0.7814,positive nothing wasnât clean homeless people outside yell weâre wait get money back bad go different hotel currently try get money back negative everything
17607,811,17265,2023-06-08,"Positive: Nothing ..! Â¿ Negative: lobby smelled like stale cigarettes from the unventilated casino next door, zero room service in three days, room reeked heavily of dog urine as did elevators the entire floor. outside were homeless camps and panhandling out entry with heavy drug use.!",2,-1,-1,0,-1,0,0.7205,positive nothing â negative lobby smell like stale cigarette unventilated casino next door zero room service three day room reek heavily dog urine elevator entire floor outside homeless camp panhandle entry heavy drug use
17608,811,17265,2023-04-03,Positive: I drove up and saw so many homeless and others and I did not feel well staying.  My companion has checked in and said the room was not comfortable.  We did not stay the night.   I was very disappointed.,2,-1,-1,0,0,0,-0.5121,positive drove see many homeless other feel well stay companion check say room comfortable stay night disappointed
17609,811,17265,2023-03-29,Positive: The best feature of this hotel is the staff. Hotel employees at front desk were extremely helpful. Hotel employee in housekeeping was a jewel. All other staff were also helpful and friendly,2,1,1,1,1,0,0.9622,positive good feature hotel staff hotel employee front desk extremely helpful hotel employee housekeeping jewel staff also helpful friendly
17610,811,17265,2023-05-30,"Positive: The staff was very nice, friendly, and helpful. Negative: Make sure to manage your expectations with Reno. All things considered, this was a good hotel.",2,1,0,1,0,0,0.9256,positive staff nice friendly helpful negative make sure manage expectation reno thing consider good hotel
17611,811,17265,2023-03-06,"Positive: comfortable, quiet, clean, good wifi   Negative: room did not contain amenities as described, first room assigned was not made up, not much dining options in area",2,-1,-1,0,-1,0,0.8316,positive comfortable quiet clean good wifi negative room contain amenity describe first room assign make much dining option area
17612,811,17265,2023-04-09,Positive: Clean & quiet     Price was great. Negative: Cold came on at night and in the morning.  I was very cold.    No coffee in the room.,2,-1,0,0,-1,0,0.6395,positive clean quiet price great negative cold come night morning cold coffee room
17613,811,17265,2023-05-24,Positive: You could bring pets and the parking was adequate. Negative: Furniture was old and tattered. Rug had a hole in it.,2,-1,-1,0,-1,0,0.2023,positive could bring pet parking adequate negative furniture old tattered rug hole
17614,811,17265,2023-02-03,Positive: I have stayed here a few times before. t is cheap and convenient.  It allows me to have my dog.   Negative: The bath-tub was blocked and I finished my shower with water well above my ankles.,2,0,1,1,-1,0,-0.0258,positive stay time cheap convenient allow dog negative bathtub block finished shower water well ankle
17615,811,17265,2023-05-15,"Positive: It was cheap Negative: The room was stinky, old looking, mold in the bathroom. Not clean or fresh at all.",2,-1,-1,0,-1,0,-0.7022,positive cheap negative room stinky old look mold bathroom clean fresh
17616,811,17265,2023-05-02,Positive: STAFF AMAZING PEOPLE Negative: No coffee in the room ac didn't work great room to warm.,2,-1,0,1,0,0,0.0274,positive staff amazing people negative coffee room ac do not work great room warm
17617,811,17265,2023-05-27,"Positive: Not much. Negative: Location, location, location.  No restaurant or bar in the hotel.  There was a bar and small grill in the smoky casino.",2,0,0,0,0,0,0.6595,positive much negative location location location restaurant bar hotel bar small grill smoky casino
17618,811,17265,2022-09-04,Positive: Beds Fred was nice and clean and light and it looked like it was washed every time that it was used. We also liked the location being so close to the highway. Negative: We were told there would be a breakfast before we left but when we showed up to get it there was no breakfast in the person that the door said that it has been closed for a couple of months.,2,1,1,-1,1,-1,0.3716,positive bed fre nice clean light look like wash every time use also like location close highway negative tell would breakfast left show get breakfast person door say closed couple month
17619,811,17265,2022-10-19,"Positive: I truly appreciate all of the employees. From the gentleman who came up to discuss the electrical, to the people who checked me into the security. Everyone was beyond helpful kind and just nice! Negative: It is old, and itÂ¿s not in the nicest part of town, But the employees made up for all of that. What type of ship is this",2,1,0,1,0,0,0.7674,positive truly appreciate employee gentleman come discuss electrical people check security everyone beyond helpful kind nice negative old itâs nice part town employee make type ship
17620,811,17265,2022-06-30,"Positive: The bed was very comfortable.  The room, although very worn, was clean. Negative: There were several homeless people on the property, some of whom were drunk.  The hotel was run down and tired-looking.  The location was surrounded by parking lots and streets, no green space.  Free breakfast was advertised, but not available.",2,-1,1,-1,-1,-1,0.3252,positive bed comfortable room although wear clean negative several homeless people property drunk hotel run tiredlooke location surround parking lot street green space free breakfast advertise available
17621,811,17265,2022-10-05,Positive: It is affordable & clean. Negative: Twice now our card did not work to let us back into the hotel from the casino. Something they should look into.,2,-1,1,0,1,0,0.3818,positive affordable clean negative twice card work let we back hotel casino something look
17622,811,17265,2022-09-06,"Positive: I arrived after midnight and was told that I had been labeled a ""no show"", that my room was sold to someone else and could not stay the night. I had to sleep in my car since it was a holiday weekend and all other hotels in the area were booked up. Negative: I arrived after midnight and was told that I had been labeled a ""no show"", that my room was sold to someone else and could not stay the night. I had to sleep in my car since it was a holiday weekend and all other hotels in the area were booked up.",2,-1,-1,-1,0,0,0.2263,positive arrive midnight tell label show room sell someone else could stay night sleep car since holiday weekend hotel area book negative arrive midnight tell label show room sell someone else could stay night sleep car since holiday weekend hotel area book
17623,811,17265,2022-09-12,"Positive: Helpful staff in the buffet area, allowing us to get coffee and a pastry for a nominal price as we were on our way to a funeral service. Negative: Location is somewhat shaky.  Many homeless wandering the area.  Not their fault, but troubling.  Hotel furniture and appointments shopworn.  HORRIBLE snafu at check-in.  45 minutes and no effort to explain.  Failed to provide promised wake-up call.",2,-1,-1,1,-1,0,-0.9629,positive helpful staff buffet area allow we get coffee pastry nominal price way funeral service negative location somewhat shaky many homeless wandering area fault troubling hotel furniture appointment shopworn horrible snafu checkin 45 minute effort explain fail provide promise wakeup call
17624,811,17265,2023-04-11,"Positive: Location Negative: Nothing in particular, could have quieter casino music.",2,1,0,0,0,0,-0.0258,positive location negative nothing particular could quieter casino music
17625,811,17265,2022-09-26,"Positive: Price and the staff was very polite Negative: It was ""old & tired"". Carpets are dirty. Toilet was running so I turned off the angle valve. No fridge in room (it was not advertised as having one)  However, none of these would keep me from staying there again if it's the best price value.",2,1,-1,1,-1,0,-0.197,positive price staff polite negative old tired carpet dirty toilet run turn angle valve fridge room advertise one however none would keep stay good price value
17626,811,17265,2022-09-05,Positive: It was pretty much the only thing available for the price Negative: It seemed old and in need of a lot of maintenance. The rooms were dingy and the lobby smelled like smoke. The air conditioner wasnÂ¿t working properly either.,2,-1,-1,0,-1,0,0.6908,positive pretty much thing available price negative seem old need lot maintenance room dingy lobby smell like smoke air conditioner wasnât work properly either
17627,811,17265,2022-07-06,"Positive: Rooms were clean Negative: The location is frightening, The hotel is surrounded by the bunch of homeless people. The smoke smell from the Casino can be easily smelt even at 11th floor.   No Free Breakfast, No Fridge and No Microwave, No room service unless ask about it.",2,-1,1,-1,-1,0,-0.4019,positive room clean negative location frightening hotel surround bunch homeless people smoke smell casino easily smell even 11th floor free breakfast fridge microwave room service unless ask
17628,811,17265,2022-07-01,"Positive: The room had two comfortable beds. Negative: The hotel couldnÂ¿t find my reservation at first, but the staff was very kind and worked until they figured it out. Hotel advertised continental breakfast included and two swimming pools, neither were available one we arrived.",2,-1,1,1,0,-1,0.7986,positive room two comfortable bed negative hotel couldnât find reservation first staff kind work figured hotel advertise continental breakfast include two swimming pool neither available one arrive
17629,811,17265,2022-06-07,"Positive: Nothing. Will no return. Negative: Hotel is dirty. We were placed on a pet floor even though we had no pets, surrounded by barking dogs. I was able to get changed to a different room but I should not have had to complain to get there. Parking is not secure and there appears to be no secu",2,-1,-1,0,-1,0,-0.555,positive nothing return negative hotel dirty place pet floor even though pet surround bark dog able get change different room complain get parking secure appear secu
17630,811,17265,2022-09-02,Positive: 1. Parking lot is exposed to homeless people.  2. Pillows were soiled had to call house keeping  3. Overall need to be upgraded.  4Will never stay there again,2,-1,-1,0,-1,0,0.5106,positive 1 parking lot expose homeless people 2 pillow soil call house keep 3 overall need upgrade 4will never stay
17631,811,17265,2022-07-19,"Positive: It was in the city we wanted for our first stop. Negative: It smelled. It was in a bad part of the city. Homeless hanging around. Did not get a chair for the desk, even after asking the front desk 3 time. Finally gave up at 10pm. Used table to sit on to work with my computer on the desk which was very uncomfortab",2,-1,-1,-1,0,0,-0.7003,positive city want first stop negative smell bad part city homeless hang around get chair desk even ask front desk 3 time finally give 10 pm use table sit work computer desk uncomfortab
17632,811,17265,2022-06-01,"Positive: Staff was helpful. Negative: Where do I start.  This is as sketch a neighborhood as it gets.  Homeless all over walking through the property all day.  This is one hotel they could turn over to homeless and I wouldn't care.  Horrible area.  AC barely worked, toilet barely flushed.",2,-1,0,1,-1,0,0.4445,positive staff helpful negative start sketch neighborhood get homeless walk property day one hotel could turn homeless would not care horrible area ac barely work toilet barely flush
17633,811,17265,2022-07-06,Positive: The front desk staff was nice. Negative: Horrible location with people loitering outside and sleeping in vehicles in the parking lot. The pool is Â¿under constructionÂ¿ with no water and they donÂ¿t serve breakfast anymore. You have to buy breakfast at the diner attached.,2,-1,0,1,-1,-1,-0.4588,positive front desk staff nice negative horrible location people loiter outside sleep vehicle parking lot pool âunder constructionâ water donât serve breakfast anymore buy breakfast diner attach
17634,811,17265,2022-06-08,"Negative: Our first room in a nonsmoking facility, reared of cigarettes.  Second room was fine.  Very outdated and a horrible bed.  My main issue is that the pool was not open and no longer offered free breakfast, my only two search filters were pool and free bfast",2,-1,-1,0,-1,-1,0.2082,negative first room nonsmoking facility rear cigarette second room fine outdate horrible bed main issue pool open long offer free breakfast two search filter pool free bfast
17635,811,17265,2022-07-05,"Positive: There was nothing really to like best. Negative: 1st room A/C did not work.  2nd Room I walked in and it was already occupied.  Front desk said that had been happening a lot.  3rd room was OK, but opened up curtains, and toothpaste (or something) was all over window.  Overall, place seemed ""sketchy"".",2,-1,-1,-1,-1,0,0.3867,positive nothing really like well negative 1st room ac work 2nd room walk already occupy front desk say happen lot 3rd room ok open curtain toothpaste something window overall place seem sketchy
17636,811,17265,2022-06-08,"Positive: The Ramada was clean and had a comfortable bed. Negative: Two/3 nights a couple next door argued from 3:30-5:30 a.m. The first night I called the front desk and the noise seemed to stop. The second night I called at 4, no answer. Again at 6 and wanted to speak with manager. No manager call back & no sleep!",2,-1,1,-1,1,0,-0.5267,positive ramada clean comfortable bed negative two3 night couple next door argue 330530 first night call front desk noise seem stop second night call 4 answer 6 want speak manager manager call back sleep
17637,811,17265,2022-09-02,Positive: Didn't. Negative: This stay never took place. I got to the hotel to be refused to be checked in because the hotel has a policy in place that refuses service to anyone who lives less that 30 miles away. I did not stay there.,2,-1,0,-1,0,0,0.6595,positive do not negative stay never take place get hotel refuse check hotel policy place refuse service anyone live less 30 mile away stay
17638,811,17265,2023-04-26,Positive: Location Negative: Sometimes sketchy people hanging around,2,-1,0,0,0,0,-0.0258,positive location negative sometimes sketchy people hang around
17639,811,17265,2022-06-08,Positive: The hotel itself is clean & comfortable Negative: The casino on the ground floor is filthy.  The people that go there are mostly locals & very friendly so you kind of overlook how dirty it is.,2,-1,1,0,-1,0,0.7574,positive hotel clean comfortable negative casino ground floor filthy people go mostly local friendly kind overlook dirty
17640,811,17265,2022-06-28,"Negative: Not as pet friendly as it seems, advertised as breakfast included but isnÂ¿t, and just because thereÂ¿s a casino does not mean that everything has to smell like smoke and alcohol. I would not bring children to this hotel.",2,-1,0,0,-1,-1,0.0222,negative pet friendly seem advertised breakfast include isnât thereâs casino mean everything smell like smoke alcohol would bring child hotel
17641,811,17265,2023-07-03,"Negative: The air conditioner did not work, very uncomfortable",2,-1,-1,0,0,0,-0.318,negative air conditioner work uncomfortable
17642,811,17265,2022-06-06,Positive: Nothing. We canceled last day. Negative: Bad part of town. Toilet plugged up and never worked right. Stains on floor. TV barely worked.,2,-1,-1,0,-1,0,-0.5574,positive nothing cancel last day negative bad part town toilet plug never work right stain floor tv barely work
17643,811,17265,2022-09-01,Positive: The casino was seporate.  Room service was unexpected but welcome. Negative: In-house retaurant not open during stay.,2,0,1,0,1,-1,0.0644,positive casino seporate room service unexpected welcome negative inhouse retaurant open stay
17644,811,17265,2022-07-07,Negative: I was checked in a room the guest was already staying for last 3 nights. The staff has no clue whatÂ¿s happening and doesnÂ¿t respect the guest. Was downgraded to a different type of room without compensation and was told be happy your getting yo slee,2,-1,-1,-1,0,0,0.2263,negative check room guest already stay last 3 night staff clue whatâs happen doesnât respect guest downgrade different type room without compensation tell happy get yo slee
17645,811,17265,2022-09-21,Positive: When I booked you guys told me the breakfast is included at check-in lady showed us the breakfast room in the morning lady said there is no breakfast today,2,-1,0,-1,0,-1,0.34,positive book guy tell breakfast include checkin lady show we breakfast room morning lady say breakfast today
17646,811,17265,2022-10-12,Negative: room I was promised was not available I had to wait 45 minutes before I can get a room the TV in the room showed snow on it went out when we came back that night the doors were locked keycard did not work and no breakfast in the morning like was advertise,2,-1,-1,-1,-1,-1,0.2933,negative room promise available wait 45 minute get room tv room show snow go come back night door lock keycard work breakfast morning like advertise
17647,811,17265,2022-06-01,"Positive: Staff were great Negative: No microwave, fridge, and air conditioning wouldnÂ¿t go low enough",2,-1,0,1,0,0,0.1779,positive staff great negative microwave fridge air conditioning wouldnât go low enough
17648,811,17265,2022-10-18,"Positive: Nothing Negative: Unclean, old, musty, unusual people around area that made me worried about my safety.",2,-1,-1,0,-1,0,0.8019,positive nothing negative unclean old musty unusual people around area make worried safety
17649,811,17265,2022-09-22,Positive: price on the weekend was reasonable Negative: area around parking felt a little unsafe,2,0,1,0,0,0,-0.0258,positive price weekend reasonable negative area around parking feel little unsafe
17650,811,17265,2022-07-25,Positive: Great breakfast buffet  Friendly staff Negative: Homeless people hanging around,2,0,0,1,0,1,0.802,positive great breakfast buffet friendly staff negative homeless people hang around
17651,811,17265,2022-06-06,Negative: False advertisement.Breakfast was served one day during my stay.Then the hot food  was for purchase.,2,-1,0,0,0,-1,-0.5719,negative false advertisementbreakfast serve one day staythen hot food purchase
17652,811,17265,2022-09-13,Positive: Staff were friendly and professional. Negative: N/A,2,1,0,1,0,0,0.4767,positive staff friendly professional negative na
17653,811,17265,2022-06-03,Positive: Nothing.  This was a bad hotel Negative: This hotel is dirty and it smells,2,-1,0,0,-1,0,-0.0387,positive nothing bad hotel negative hotel dirty smell
17654,811,17265,2022-07-20,Positive: Staff was great. Negative: Found it a bit run down.,2,-1,0,1,-1,0,0.6124,positive staff great negative find bit run
17655,811,17265,2022-07-05,Positive: You say complementary brekfas but ther is not so don't put it,2,-1,0,0,0,-1,0.3182,positive say complementary brekfas ther do not put
17656,811,17265,2022-05-31,Positive: very close to the airport Negative: no shuttle service to the airport,2,-1,0,0,0,0,-0.3182,positive close airport negative shuttle service airport
17657,811,17265,2023-01-31,Positive: El mejor servicio excelente,2,1,0,1,1,0,0.5574,positive el mejor servicio excelente
17658,811,17265,2022-06-01,Negative: not the best location. hotel needs a major renovation,2,-1,0,0,-1,0,-0.7946,negative good location hotel need major renovation
17659,811,17265,2022-07-05,"Negative: the hotel was very old, the room was dingy and needed repair",2,-1,-1,0,-1,0,-0.5719,negative hotel old room dingy need repair
17660,811,17265,2022-07-06,Negative: They did not give any Brackfast,2,-1,0,0,0,-1,-0.5719,negative give brackfast
17661,811,17265,2022-05-24,"Positive: Quite Negative: Breakfast, pool was closed",2,-1,0,0,0,-1,-0.101,positive quite negative breakfast pool close
17662,811,17265,2022-07-12,Positive: near where i needed to be Negative: needs updating,2,0,1,0,-1,0,-0.0258,positive near need negative need update
17910,855,17265,2022-10-16,Positive: Complete amenities Negative: None,4,1,1,0,-1,1,-0.0258,positive complete amenity negative none
17952,1010,17265,2022-12-02,"Positive: The Location is excellent, close to main attractions and the   Staff provides a very good service so the environment is very friendly Negative: Cleanliness, I found a small cockroach in the bathroom",3,1,0,1,-1,0,0.9154,positive location excellent close main attraction staff provide good service environment friendly negative cleanliness find small cockroach bathroom
